The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
"We are worried that Islamic states like ourselves that support the US efforts, ultimately the population will rise against us, seeing all these innocent people being killed ...	us	will rise against
us,-20	against-19	-pobj
The summit is set to issue an anti-terrorism declaration at the conclusion of the largest gathering of world leaders since the September 11 attacks on the World Trade Center and Pentagon.	terrorism	an anti-terrorism declaration
anti-terrorism-8	declaration-9	-amod
Mahathir has urged the United Nations to convene an international meeting on terrorism.	the United Nations to convene an international meeting on terrorism	has urged
Nations-6	urged-3	-dobj
Opposition groups in Malaysia have expressed concern that the government of Prime Minister Mahathir Mohamad is using the US-led war on terror as a pretext to crack down on legitimate dissent.	the government of Prime Minister Mahathir Mohamad	have expressed concern that the government of Prime Minister Mahathir Mohamad is using the US-led war on terror as a pretext to crack down on legitimate dissent
government-10	the-9	-det
Opposition groups in Malaysia have expressed concern that the government of Prime Minister Mahathir Mohamad is using the US-led war on terror as a pretext to crack down on legitimate dissent.	the government of Prime Minister Mahathir Mohamad is using the US-led war on terror as a pretext to crack down on legitimate dissent	have expressed concern that
using-17	expressed-6	-ccomp
we don't want the war to be seen or to be perceived as a war against Islam."	the war	don't want
war-5	want-3	-nsubjpass-ccomp
we don't want the war to be seen or to be perceived as a war against Islam."	the war	to be seen or to be perceived as a war against Islam
war-5	seen-8	-nsubjpass
Dostum also favoured a possible return of Afghanistan's former King Mohammad Zaher Shah.	a possible return of Afghanistan's former King Mohammad Zaher Shah	favoured
return-6	favoured-3	-dobj
The US official told reporters traveling with Powell en route to Shanghai for an APEC meeting that he unequivocally denied the Washington Post report that said the Bush administration was considering such a move, specifically to allow sales of spare parts for mainland Chinese-owned helicopters as another weapon in the US war on terrorism.	the Washington Post report that said the Bush administration was considering such a move, specifically to allow sales of spare parts for mainland Chinese-owned helicopters as another weapon in the US war on terrorism	unequivocally denied
report-24	denied-20	-dobj
"We believe in the sincerity of the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue," Kao said, adding that relevant US officials have on many occasions reaffirmed similar commitments to the ROC.	mix up its counter-terrorism drive with the Taiwan Strait issue	promising not
mix-14	promising-11	-xcomp
"We believe in the sincerity of the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue," Kao said, adding that relevant US officials have on many occasions reaffirmed similar commitments to the ROC.	the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue	believe in the sincerity of
in-10	believe-2	-prep
"We believe in the sincerity of the United States in promising not to mix up its counter-terrorism drive with the Taiwan Strait issue," Kao said, adding that relevant US officials have on many occasions reaffirmed similar commitments to the ROC.	similar commitments to the ROC	reaffirmed
commitments-37	reaffirmed-35	-dobj
Kao said US President George W. Bush's trip to Shanghai is mainly to attend the annual informal leadership meeting of the Asia-Pacific Economic Cooperation (APEC) forum to seek expansion of the anti-terrorism coalition.	expansion of the anti-terrorism coalition	to seek
expansion-29	seek-28	-dobj
Against this backdrop, Kao said, the ROC government is optimistic about defense cooperation with the United States.	defense cooperation with the United States	is optimistic about
cooperation-13	about-11	-pobj
Kao said several senior Bush administration officials, including Secretary of State Colin Powell, has also made reassurances that the United States would not seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan.	the anti-terrorism campaign	support for
campaign-31	for-28	-pobj
Kao said several senior Bush administration officials, including Secretary of State Colin Powell, has also made reassurances that the United States would not seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan.	mainland China's support for the anti-terrorism campaign at the expense of Taiwan	would not seek
support-27	seek-24	-dobj
Kao said several senior Bush administration officials, including Secretary of State Colin Powell, has also made reassurances that the United States would not seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan.	seek mainland China's support for the anti-terrorism campaign at the expense of Taiwan	has also made reassurances that the United States would not
seek-24	made-16	-ccomp
Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the "one China" policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait.	a peaceful solution to all disputes between the two sides of the Taiwan Strait	desire
solution-40	desire-35	-dobj-vmod
Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the "one China" policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait.	the US support for the "one China" policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait	will reaffirm
support-25	reaffirm-20	-dobj-xcomp
Prior to his departure for Shanghai, Bush said during his meeting with mainland Chinese President Jiang Zemin, he will reaffirm to Jiang the US support for the "one China" policy as well as its desire to see a peaceful solution to all disputes between the two sides of the Taiwan Strait.	the "one China" policy	support for
